"","SGEN","AK_503","AK_105","AK_110","AK_205","AK_206","AK_207","AK_211","Weight","prespref","no_impeach","mythPID3","faction","IDEO5","ideoparty","pop401","pop402","pop403","pop406","popscale","POP_antielite","POP_antiexpert","POP_nationalID","over50","male2","white","collplus","SEN_R1","SEN_R2","SEN_R3","SEN_Order1","SEN_Order2","h2h_MT","h2h_MC","h2h_CT","HousePref","murkpelt","votestrategy","exp_confidence","exp_easy","exp_benefit","exp_AKsystem","primpref1","primpref2","primpref3","ruleorder"
"1","M",1,1,9,1,1,2,2,0.442,0,0,1,3,2,1,-1,-1,-1,1,-2,0.25,0.25,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"2","F",1,1,9,1,1,2,2,0.63383,0,0,1,3,3,2,-1,0,-1,2,0,0.375,0.25,1,1,1,1,0,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"3","F",2,1,5,1,1,2,2,0.32783,0,0,1,2,3,2,-1,-1,-1,-1,-4,0.25,0.25,0.25,1,0,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,3,1,2,1,2,1
"4","M",1,2,12,2,9,1,1,1.3539,1,1,3,4,4,5,-2,2,2,0,2,0.5,1,0.5,0,1,1,1,2,2,2,2,5,2,3,2,2,0,1,3,2,3,3,1,2,1,4
"5","M",2,1,5,1,2,2,2,0.33244,0,0,1,2,2,1,-1,-1,-1,2,-1,0.25,0.25,1,1,0,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,2,1,2,1,2,1
"6","F",1,2,12,2,9,1,2,0.86128,1,1,3,4,3,4,2,1,2,2,7,0.875,1,1,1,1,1,0,2,2,2,2,4,2,3,2,1,0,2,NA,1,2,2,1,1,3,3
"7","M",2,2,10,2,9,1,1,0.28926,1,1,3,5,5,5,1,0,1,2,4,0.625,0.75,1,1,0,1,1,2,2,2,2,4,2,3,2,3,0,1,2,3,3,3,1,2,1,4
"8","M",1,2,10,2,1,1,2,1.78131,1,1,3,5,4,5,1,1,1,1,4,0.75,0.75,0.75,0,1,0,1,2,2,2,2,1,2,1,2,2,0,2,1,1,2,2,1,1,2,3
"9","F",2,2,10,2,9,1,1,0.99338,1,1,3,5,5,5,-2,2,2,2,4,0.5,1,1,0,0,1,0,2,2,2,2,5,2,3,2,3,0,1,NA,1,3,3,1,2,1,4
"10","M",1,1,5,1,1,2,2,0.50953,0,0,1,2,3,2,-1,-2,-2,1,-4,0.125,0,0.75,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"11","M",2,2,9,1,1,1,2,0.46454,1,0,3,3,3,4,1,-1,1,2,3,0.5,0.75,1,1,0,1,1,1,1,1,1,4,1,1,2,4,0,2,1,1,3,1,2,1,2,1
"12","M",1,1,9,1,1,2,2,0.36464,0,0,2,3,3,3,2,-2,-2,2,0,0.5,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2,3,2,1
"13","M",1,2,12,2,1,1,2,0.50953,1,0,3,4,4,5,1,2,1,2,6,0.875,0.75,1,1,1,1,1,2,2,2,2,1,2,1,2,2,0,2,NA,3,3,3,1,2,2,4
"14","M",1,1,5,1,2,2,2,0.36464,0,0,1,2,3,2,-2,-1,-1,1,-3,0.125,0.25,0.75,1,1,1,1,3,3,1,3,1,1,2,1,1,0,2,1,1,3,1,2,1,2,1
"15","M",1,2,10,2,9,1,1,0.67404,1,1,3,5,5,5,2,0,2,2,6,0.75,1,1,1,1,1,0,2,2,2,2,5,2,3,2,3,0,1,1,3,3,3,1,2,1,4
"16","F",2,2,9,2,9,1,2,0.6478,1,1,3,3,4,5,-1,-1,0,1,-1,0.25,0.5,0.75,1,0,1,0,2,2,2,2,5,2,3,2,2,0,2,3,2,2,2,2,1,2,1
"17","F",2,1,3,1,1,2,3,0.33244,0,0,1,2,3,2,-1,-2,-1,1,-3,0.125,0.25,0.75,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"18","F",2,1,9,1,1,2,2,0.6478,0,0,1,3,3,2,-1,-2,1,2,0,0.125,0.75,1,1,0,1,0,1,1,1,1,5,1,1,1,1,1,2,1,1,2,1,2,2,2,1
"19","M",1,1,9,1,1,2,2,0.36464,0,0,1,3,3,2,-2,-2,-1,-1,-6,0,0.25,0.25,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,2,1,2,2,2,1
"20","M",1,2,10,2,1,1,1,0.50953,1,1,3,5,5,5,1,-2,1,2,2,0.375,0.75,1,1,1,1,1,2,2,2,2,5,2,1,2,2,0,1,3,2,3,3,1,2,1,4
"21","F",2,1,2,1,1,2,3,0.90521,0,0,1,1,1,1,-1,-1,-2,1,-3,0.25,0,0.75,1,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,2,2,2,2,1
"22","F",2,2,9,1,1,9,1,1.77007,1,0,2,3,3,3,0,0,2,1,3,0.5,1,0.75,0,0,1,0,1,1,1,1,5,1,1,3,1,1,1,1,1,2,1,2,3,2,1
"23","F",2,1,1,1,1,2,3,4.6894,0,0,1,1,1,1,0,1,0,-1,0,0.625,0.5,0.25,0,0,1,0,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,2,1
"24","M",2,1,5,1,1,2,3,0.74457,0,0,1,2,2,1,-2,-1,0,2,-1,0.125,0.5,1,1,0,1,0,3,3,5,3,5,1,1,1,1,0,3,1,1,2,1,2,1,2,1
"25","F",2,1,1,1,1,9,9,0.33244,0,0,1,1,3,2,-1,-2,-2,2,-3,0.125,0,1,1,0,1,1,1,1,1,1,5,1,1,3,1,1,NA,1,1,2,2,3,3,3,NA
"26","F",2,2,12,2,9,1,2,0.33244,1,1,3,4,4,5,1,-1,0,2,2,0.5,0.5,1,1,0,1,1,2,2,2,2,4,2,3,2,2,0,2,NA,2,3,3,1,2,1,4
"27","F",1,1,4,1,1,2,1,0.81261,0,0,2,2,3,3,-2,-1,1,1,-1,0.125,0.75,0.75,1,1,0,1,1,1,1,1,5,1,1,1,1,1,1,3,1,2,1,2,1,2,1
"28","M",1,1,5,1,2,2,3,0.36464,0,0,1,2,3,2,0,1,0,1,2,0.625,0.5,0.75,1,1,1,1,1,1,1,1,3,1,2,1,1,1,3,1,1,2,1,2,1,2,1
"29","F",1,2,12,1,1,9,2,1.0896,1,0,3,4,3,4,-1,0,1,2,2,0.375,0.75,1,0,1,1,0,1,1,1,1,5,1,1,3,1,1,2,1,1,2,3,2,1,2,1
"30","F",2,2,7,2,2,1,3,1.62401,1,1,3,3,3,4,1,0,0,1,2,0.625,0.5,0.75,0,0,0,1,2,2,2,2,5,2,2,2,2,0,3,2,3,3,3,1,2,3,4
"31","M",1,2,10,2,9,9,1,0.71054,1,1,3,5,5,5,2,1,1,2,6,0.875,0.75,1,1,1,1,0,2,2,2,2,5,2,3,3,2,0,1,3,3,3,3,1,2,3,4
"32","F",2,2,12,2,9,1,1,1.15662,1,1,3,4,5,5,2,2,2,2,8,1,1,1,0,0,0,0,2,2,2,2,4,2,3,2,3,0,1,3,1,1,1,1,1,3,3
"33","M",1,1,5,1,1,2,2,0.36464,0,0,1,2,3,2,-1,-1,-2,2,-2,0.25,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,2,1,2,1
"34","F",2,2,12,2,2,1,2,0.33244,1,1,3,4,4,5,0,-1,1,-2,-2,0.375,0.75,0,1,0,1,1,2,2,2,2,5,2,2,2,2,0,2,3,3,3,3,2,3,1,2
"35","M",1,1,1,1,2,2,2,5.4221,0,0,1,1,1,1,1,1,-2,-1,-1,0.75,0,0.25,0,1,1,0,3,3,1,3,1,1,2,1,1,0,2,1,2,2,1,2,1,2,1
"36","F",2,2,12,2,1,1,3,0.90521,1,1,3,4,5,5,0,-2,-2,-2,-6,0.25,0,0,1,0,1,0,2,2,2,2,1,2,1,2,2,0,3,1,1,3,3,1,2,1,4
"37","M",1,1,4,1,1,2,1,0.31728,0,0,1,2,3,2,1,-1,1,1,2,0.5,0.75,0.75,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,1,1,2,1,1,2
"38","F",2,1,5,1,1,2,2,0.33244,0,0,2,2,2,3,0,1,1,2,4,0.625,0.75,1,1,0,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,2,2,2,1,2,1
